City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Upata,VE,8.0086,-62.3989,71.19,92,98,4.38,overcast clouds
280,Paamiut,GL,61.994,-49.6678,0.64,76,100,8.43,overcast clouds
281,Roma,US,43.2128,-75.4557,12.63,95,62,4.38,broken clouds
282,Selenginsk,RU,52.0064,106.8647,24.39,86,98,14.74,light snow
283,Livingston,GB,55.9029,-3.5226,41.07,75,0,3.44,clear sky
284,Zhigansk,RU,66.7697,123.3711,-1.84,91,99,4.12,overcast clouds
285,Orcotuna,PE,-11.9667,-75.3333,47.26,88,100,2.64,overcast clouds
286,Acarau,BR,-2.8856,-40.12,77.41,84,63,9.28,broken clouds
287,Inuvik,CA,68.3499,-133.7218,-21.35,97,10,6.62,clear sky
288,Saint George,US,37.1041,-113.5841,39.43,36,0,4.94,clear sky
289,Matara,LK,5.9485,80.5353,87.22,55,14,7.2,few clouds
290,Kudahuvadhoo,MV,2.6708,72.8944,82.62,75,22,10.04,few clouds
291,Kaina,NG,12.6374,8.5873,61.11,14,9,8.28,clear sky
292,Qui Nhon,VN,13.7667,109.2333,76.82,76,66,16.98,broken clouds
293,Bahadurganj,IN,26.2667,87.8167,77.81,32,13,2.84,few clouds
294,Saint-Leu,RE,-21.15,55.2833,79.43,75,76,0.69,light rain
295,Souillac,MU,-20.5167,57.5167,80.98,74,86,6.22,overcast clouds
296,Manitouwadge,CA,49.1215,-85.8403,13.95,89,100,8.23,overcast clouds
297,Moa,CU,20.6569,-74.9403,76.1,77,43,13.11,scattered clouds
298,San Juan Bautista,PE,-14.0108,-75.7358,63.23,74,100,0.96,overcast clouds
299,Bathsheba,BB,13.2167,-59.5167,76.6,78,99,12.93,overcast clouds
300,Yinchuan,CN,38.4681,106.2731,41.02,24,100,3.91,overcast clouds
301,Coquimbo,CL,-29.9533,-71.3436,66.34,76,35,6.85,scattered clouds
302,Lumsden,CA,50.6501,-104.8678,13.93,96,100,7.11,overcast clouds
303,Gombe,NG,10.2897,11.1673,67.55,22,12,6.98,few clouds
304,Plettenberg Bay,ZA,-34.0527,23.3716,68.32,85,4,7.31,clear sky
305,Mount Pleasant,US,32.7941,-79.8626,58.75,86,89,11.32,overcast clouds
306,Evanston,US,42.0411,-87.6901,25.97,84,4,14.45,clear sky
307,Taksimo,RU,56.3444,114.8794,16.92,83,100,0.49,overcast clouds
308,Hay River,CA,60.8156,-115.7999,-24.72,100,69,0.34,broken clouds
309,Coahuayana,MX,18.7333,-103.6833,70.23,87,5,3.4,clear sky
310,Moose Factory,CA,51.2585,-80.6094,8.8,93,69,9.28,broken clouds
311,Kyra,RU,49.5776,111.9753,25.43,61,41,16.55,scattered clouds
312,Luderitz,NA,-26.6481,15.1594,64.08,93,70,7.27,broken clouds
313,Pevek,RU,69.7008,170.3133,4.95,96,100,6.67,overcast clouds
314,Sinop,TR,41.7711,34.8709,39.24,96,100,1.7,overcast clouds
315,Sinnamary,GF,5.3833,-52.95,76.69,90,100,10.76,overcast clouds
316,Vryheid,ZA,-27.7695,30.7917,60.98,95,82,2.75,broken clouds
317,Pelym,RU,61.0108,61.9978,27.5,86,100,8.23,overcast clouds
318,Asyut,EG,27.181,31.1837,51.85,60,36,6.24,scattered clouds
319,Lagos,NG,6.5833,3.75,78.73,90,39,4.36,light rain
320,Stornoway,GB,58.2093,-6.3865,39.16,89,100,10.36,light rain
321,Olinda,BR,-8.0089,-34.8553,79.16,77,91,8.16,overcast clouds
322,Sitka,US,57.0531,-135.33,38.21,94,100,10.0,light rain
323,Mizdah,LY,31.4451,12.9801,51.1,38,25,1.25,scattered clouds
324,Puerto Maldonado,PE,-12.6,-69.1833,72.09,99,99,2.15,overcast clouds
325,Arak,IR,34.0917,49.6892,41.0,58,0,1.97,clear sky
326,Belmonte,BR,-15.8631,-38.8828,72.1,85,37,3.33,scattered clouds
327,Along,IN,28.1667,94.7667,74.48,38,44,1.48,scattered clouds
328,Upernavik,GL,72.7868,-56.1549,-11.78,99,100,10.02,overcast clouds
329,Dickinson,US,29.4608,-95.0513,43.95,94,100,13.8,mist
330,Akureyri,IS,65.6835,-18.0878,21.2,88,100,7.63,overcast clouds
331,Tondano,ID,1.3038,124.9112,81.66,54,92,4.72,overcast clouds
332,Ayan,RU,56.45,138.1667,4.86,58,41,11.83,scattered clouds
333,Bilibino,RU,68.0546,166.4372,7.38,96,100,3.71,light snow
334,Shimoda,JP,34.6667,138.95,53.83,48,8,31.34,clear sky
335,Hilton Head Island,US,32.2163,-80.7526,60.42,89,73,10.07,broken clouds
336,Manoel Urbano,BR,-8.8389,-69.2597,71.38,99,49,1.88,scattered clouds
337,Ulladulla,AU,-35.35,150.4667,75.09,81,79,4.07,broken clouds
338,North Myrtle Beach,US,33.816,-78.68,52.57,78,29,8.66,scattered clouds
339,Pedernales,DO,18.0384,-71.744,75.36,71,1,4.88,clear sky
340,Kantang,TH,7.4054,99.5156,80.15,77,97,10.74,overcast clouds
341,Strezhevoy,RU,60.7333,77.5889,23.22,90,100,13.69,overcast clouds
342,Orizona,BR,-17.0314,-48.2958,66.16,89,9,2.59,clear sky
343,Ponta Delgada,PT,37.7333,-25.6667,61.7,91,55,17.81,broken clouds
344,Ahipara,NZ,-35.1667,173.1667,69.12,68,83,1.21,broken clouds
